id,date,amount,type,category,description
15,2026-03-16,720.00,income,Other,Paycheck (72 x $10)
16,2026-03-02,10.59,expense,Food,DoorDash
17,2026-03-02,3.99,expense,Food,Food & drinks
18,2026-03-03,4.95,expense,Snacks,Vending machine
19,2026-03-03,2.60,expense,Snacks,Vending machine
20,2026-03-05,3.10,expense,Food,Food & drinks
21,2026-03-05,2.75,expense,Snacks,Vending machine
22,2026-03-05,2.60,expense,Snacks,Vending machine
23,2026-03-06,5.20,expense,Food,Food & drinks
24,2026-03-09,25.00,expense,Subscriptions,Visible phone bill
25,2026-03-09,9.94,expense,Shopping,Burlington
26,2026-03-10,2.10,expense,Food,Food & drinks
27,2026-03-11,7.97,expense,Coffee,Coffee
28,2026-03-11,4.29,expense,Food,Food & drinks
29,2026-03-11,2.35,expense,Food,Food & drinks
30,2026-03-11,2.75,expense,Snacks,Vending machine
31,2026-03-12,2.75,expense,Snacks,Vending machine
32,2026-03-12,11.27,expense,Shopping,Burlington
33,2026-03-12,11.64,expense,Food,DoorDash
34,2026-03-13,2.60,expense,Snacks,Vending machine
35,2026-03-13,6.82,expense,Coffee,Coffee
36,2026-03-13,6.65,expense,Food,Food & drinks
37,2026-03-13,1.91,expense,Food,Food & drinks
38,2026-03-13,11.85,expense,Food,Chipotle
39,2026-03-13,2.75,expense,Snacks,Vending machine
40,2026-03-14,1.00,expense,Food,Food & drinks
41,2026-03-14,2.75,expense,Snacks,Vending machine
42,2026-03-16,10.00,expense,Transport,Amtrak train
43,2026-03-16,4.95,expense,Snacks,Vending machine
